,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,target
3428,1011.3445813250895,438.38107198343914,321.0,589.6193050307642,1148.1302799705256,273.0,7.756201498123507,50.92462403665994,875.1718443549096,409.2178495026166,689.0,197.26974655940512,470.48176324191945,78.44347339221825,375.37827662738715,478.24036067415926,587.8579658932678,768.8944551992734,529.1649847108192,0.6822793678294887,0.4781036143809651,3800.811615389314
891,942.3757115830726,447.16222789606377,,540.5460972139804,966.6577840386184,273.0,8.005016033318775,67.93200589206694,836.1322644059225,306.34334588481505,689.0,152.3759668818757,560.00280016968,66.22309325968139,371.69705053033795,398.7089320505856,623.7394391492769,711.9244607115933,466.6409379426525,0.5732114194835053,0.6478258425779597,3300.9483195954745
9151,979.4550001560434,481.65986182950604,321.0,432.1910706260785,1030.1498057290369,273.0,8.298350320254935,58.709708879063875,950.7950987188387,382.43102605560006,,214.1652480517706,518.9212063559485,85.33692467095526,367.6099297859731,313.7112473846307,610.2896154064327,779.2498117091393,372.4209562636946,0.618591023200184,0.5865730670106474,3403.103567109181
2195,,464.80907301341995,321.0,456.28508417002786,906.5189258215522,273.0,7.849912071711826,57.64473661247742,828.4610817862467,475.0595398689686,689.0,161.22606948667263,467.66974036609736,63.06171127301423,375.5526699797321,316.2103900906912,629.4243030048274,803.0158553905273,373.8551267031686,0.6863818038531153,0.5854609722109495,3045.048884076215
9197,939.7574451724844,472.6673625519872,321.0,478.8418978799482,1056.6837961565006,273.0,7.591891510592548,65.3017635413456,894.6352056257291,322.0767489794889,689.0,179.25442058795804,359.90383398579564,76.7135497790523,374.841871140521,310.16631301937167,660.7426007313347,721.1057501042069,375.46807656071724,0.8919049192809347,0.41319587312019546,3910.4920102277747
3342,957.7125158157644,495.384742535211,321.0,590.2214408518131,581.9156311444895,273.0,7.637712572500548,63.81224042711284,838.9826598746898,322.26862405604567,689.0,204.6853567163208,456.82202187878556,76.67096791555187,372.2156647484235,346.89642155502423,636.8249795809804,755.4816384776645,410.7086619821371,0.7026806603583026,,2993.8032636902235
9600,978.7913144224399,523.6432800338832,321.0,567.2172608320686,1063.281140105242,273.0,7.558498079034551,69.59455001051055,865.609863981017,287.3121465787665,689.0,182.56337461271326,459.1270717760672,83.84530182221505,375.7344117208235,314.6310611532468,615.9265075946546,652.8821983404385,384.2256111637573,0.6991528483786799,0.5106573916514119,4125.43445734662
6496,,446.952277473358,321.0,577.3477535596047,1031.7450411741686,273.0,7.634532064094849,50.946859526299924,851.6428394951287,294.1103628159418,689.0,125.39135770413638,,63.34800892406988,375.89881943583464,244.16793356444992,710.4293261646818,,295.11479309074986,0.9876548678296331,0.3764111417779045,4274.726728577693
171,986.182525251462,475.28561221720264,321.0,480.99643282679995,916.7534657558758,273.0,8.17837349584937,67.9794906081891,843.0100599387358,306.2775960139394,689.0,184.7553646314431,383.6882728838503,49.25123039980501,373.25020414526716,261.83230808930523,647.9804232665724,668.5714444361203,329.81179869749434,0.8366166565043096,0.4722529223564928,3861.6017451994417
9431,1000.6052094938874,441.31825503197734,321.0,579.2192233948741,1136.752075809499,273.0,8.020235454779067,42.191794890143576,758.2679110801444,290.8905230304761,689.0,143.5812609038629,427.89568155179927,68.42746131136747,373.53551720243104,359.1118648705368,605.9033582113723,568.5444947299718,401.3036597606804,0.7501828455848557,0.4366151190088896,4359.686532160521
4859,945.6106536026867,441.82922711504216,321.0,497.0917526649483,1002.3576336836685,273.0,7.280713152501788,68.64531143525737,852.8928291960897,357.51187594585787,689.0,234.04907407252625,451.8038152586985,75.17855679632608,367.6312988551488,381.9648438489464,622.5942549027711,705.8001944302532,450.61015528420376,0.7104853681153589,0.5257428629723327,3599.2136233548895
8383,949.7999431377974,479.91490213557375,321.0,656.9999982518603,1010.6026976857435,273.0,7.97191443479934,49.20487916318507,821.4458616777189,365.0593359924016,689.0,,537.8465395012342,72.57532438092034,369.27002244699094,374.7070065211918,664.1813389171224,788.9989099166334,423.91188568437684,0.5968245148470708,0.604017647370234,3635.532151798362
3045,972.299841189817,441.87475410456284,321.0,502.5240794249785,878.2057559811583,273.0,8.218789124284394,67.83258598224596,896.9902227195894,267.8911861852301,689.0,191.61530782280383,487.2833218472183,62.16767175807708,370.8244863582232,223.72318557717927,616.429862314394,712.709665405494,291.55577155942524,0.6587543336864823,0.6256517790542513,3644.352561788668
