,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
7128,326.504493775713,594.0837988327825,169.50480774788127,630.5206875164495,56.2763463733484,828.2516863969132,478.25850266088185,50.36987534542273,31.252325340562148,61.11193642724139,449.89967829332664,42.07987571010785,260.0333583450033,350.30053457998486,,-676.4163168631839
6512,317.128248821781,,174.93120563573535,734.8345845569264,54.19559914139901,783.8035162859169,540.7456475984327,34.66914690045188,29.820659099854666,57.86066205111908,394.3830430647222,36.842559375208396,282.29776453304635,322.4398196141167,598.0197255797299,-602.7042446665696
5926,,749.9185508672051,220.6819627650109,443.22899631836,58.333788103417376,876.5676602563285,539.9188044188961,38.053314911784376,31.374229329468807,52.54599598680754,421.6397386595099,39.97667219801883,360.10352887758256,419.2428996779506,599.5134885949701,-766.3966918970622
8657,347.8634777385405,702.622231486067,242.8939851371974,567.8804218566456,58.290594167466104,807.1688898831421,573.9100582080836,27.930880966728907,30.800525645874817,50.79404157689988,,44.13780544572945,321.03021524546494,447.27051598799517,598.2234077684741,-664.3495945739595
1529,401.3645255900947,690.3170028484321,191.80039903063454,,52.65641601896604,913.2783237594405,499.43550069867626,34.88163154281073,31.96988370660772,49.5523266847552,310.0114410998854,46.885986564481605,321.92431439628155,370.69421460692564,596.504330961327,-789.6539154938129
2196,278.3703617626202,734.5684481632013,218.92787719762694,588.7157871634006,54.51403740987982,864.7591953661123,478.66995340673117,31.6185677010005,30.757729212913382,57.68889323282172,362.5590068504889,43.7911357349316,343.14208326579774,410.3361116023791,604.5933381528076,-693.3015582846042
4099,408.8616764702174,599.4845507147218,193.38545821409866,733.3178450002587,56.293684293990616,,545.063209882301,40.393411922934405,28.80452032268098,50.038973783682216,383.2900427777171,37.293046374325954,238.92414518676867,340.32421559377303,596.670381804422,-684.9780066326814
787,271.94016370227024,723.8371654603517,215.62290282549424,686.7556797036,53.817355614206996,853.3390764158787,499.62884299579383,48.84092897411653,29.247639596794635,47.27817864024368,430.13329037711566,42.269553078271734,312.7223471231072,323.6825694005754,599.6084890279377,-663.7384228774306
3792,275.9203261845218,597.0407986726457,219.083982757344,557.0311749525418,56.710529059956485,858.4047553547622,553.5546202442814,45.81048779982761,29.872817126493008,57.93905945089511,394.1009176147985,,317.8267844829628,338.52692975947673,599.8687838598773,-603.0421960119368
7470,333.81068756652354,752.1121269221876,219.71379047243704,549.3558707411383,60.36241246333334,,451.48329590467733,38.69931587969942,32.51930546523565,56.33193836568544,302.9307428875872,39.11081334129,272.6786654864033,318.16584987572776,595.5606748609949,-632.892588424356
4243,326.32923562557016,713.7290484084646,271.83270664284044,587.0361195316461,58.44075197374664,,556.6067321048437,46.58407165510611,29.135776679962465,55.8702897518715,592.3188870921167,35.92858857182694,254.57135586035668,215.74572011799467,601.8602564759996,-808.6307707574066
2106,243.62453761644795,594.5964120165397,190.06438944100313,738.293257797221,50.836170289030335,847.8957201595559,530.9736037336938,37.49173836394156,31.365932408557978,59.90903379914593,389.35774176738465,39.072050147296515,335.98877796136316,354.03787063590624,588.4170203127808,-558.0943764740697
6273,283.39037863648554,688.6379320720388,191.77931743812752,462.0986378181288,57.651777532916945,872.5340906474476,,46.65169926766513,31.90957320508278,51.69721642341941,266.35280389123864,40.56549095410361,360.2878395473818,387.4630362593896,595.1084942583499,-600.0664881190195
5887,297.08448358979587,801.5902379719375,191.61821387293534,479.3741562253883,53.695354133806845,843.3418524655037,428.13304640942255,32.171079889332034,30.448181335781946,60.83539432076941,355.11340521589534,40.48167123960177,209.34823102292654,309.0453647252362,604.0640933116216,-713.9967445588055
6608,222.59517454028708,670.2893995240637,,615.1982329311593,52.39493890007721,890.9310337025355,521.5340392183472,33.952888734646606,28.647474692215606,53.88051143877756,442.05450065939164,45.9427967925074,240.89457351525414,387.9705447961377,602.9586528532697,-652.4611453006031
9033,326.8708530275729,662.9226730760548,208.65636203245649,528.7020941244855,56.01149998675816,812.6246927697181,508.92139061025887,32.41348147045192,31.03084385198617,54.8744485776101,364.14260138169755,42.19912196555343,334.3469235702201,470.4466291251463,593.0336536494004,-688.502848583952
272,463.7463103442065,782.9714398740226,194.50657700396354,599.0300338780665,57.03627727573516,817.1359154700879,504.7756983970117,34.01215134389762,31.56038053085633,51.82594478125499,310.8701687800035,36.71847011528227,280.90249306424914,395.1527477852036,591.2477596264383,-783.8752437773218
6104,278.8243979101949,695.2192835093365,207.17574894773222,614.337721096424,56.56701502263926,874.8096512512366,481.0333700707729,50.91314114762592,33.277953021485615,48.68927387251506,547.929130852284,36.76934080434652,244.42166944684942,440.45492033704727,602.7872819809947,-782.7363775338437
7640,339.21860965121175,742.9844489023154,203.78606554459657,633.3633755850694,53.18450096670477,830.7692354180963,533.8203004258631,26.515955126610496,31.082889102692928,57.09545473448619,538.9705587368708,42.22771526623607,265.2307206668708,343.1754104329941,600.6201101517134,-808.3359106468849
3546,292.12850729657845,712.0738451138474,265.2592911643336,599.3510199568215,52.325476259817144,938.9722459301461,,40.46549120581073,31.127088119194724,47.09782711528538,369.95337658008225,40.85365946563095,277.4253392431573,352.5937213831939,600.4381722272772,-725.7996556046695
5324,358.597839020035,718.4606196765301,146.63475429722087,545.9964837073752,58.068830599606365,896.7322892683375,469.87049418175843,33.01978676988936,30.858811819444412,48.58618840906088,391.37217650387856,36.87702082390271,248.4055892541685,258.6050026239258,606.2935860454272,-748.7800760935833
6931,409.33155926202573,684.117398574016,231.36384594622982,312.8249336851175,55.08985343259644,855.4692106867282,472.6426714233696,32.66901901227237,30.693770860286946,56.20618700154701,389.39129463847087,43.08893811916413,321.6235423489633,,594.5428837739191,-855.7130372056391
7736,,662.2899081466613,212.34223153141318,873.4310397538616,61.107762265156346,892.1285658855264,665.2536491546027,37.89922942732181,31.673800780887273,60.43504414484701,469.8162636665897,36.741887469039575,332.476896967351,407.3102345352517,602.0435058005868,-604.9046324797891
