,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
5774,93.49646558371364,921.3847425224467,67.91905533242534,724.0237218163762,737.7552124986411,645.5928995634354,349.8586893128199,249.0,495.8932244156574,842.4676730764693,1221.6679292988033,726.7021263004215,707.6653911804121,588.4049360364696,1054.292078420583,333.35365572960376,483.6238953663083,236.96307272556624
3376,84.03742486078897,857.033451439104,69.33940852908074,756.3406014224424,,984.0903240414011,502.14254480672594,249.0,549.6947998516049,1013.6728470424262,1014.448788950021,731.2898608547484,686.4541886344347,585.9558239079832,1166.7427482657451,396.6913621682721,506.7284510767274,333.5361001945004
6677,,840.9122564228513,76.36260055715367,433.51706178315715,816.6130627960721,870.1187881158293,394.94209185976615,249.0,638.0304273874907,784.2871021600668,744.7082506639524,721.5898275681119,558.3449099623349,626.6362827131243,,398.43426934999303,558.949612022033,-1.3935973534149753
4765,92.43033161510512,776.618003766378,54.14389432095178,643.4574549972742,724.1875637987583,836.8328373314,395.47991704978375,249.0,634.6493733981329,948.6921616548244,817.6492125375316,737.3977971754712,701.3055736813117,665.5981882348324,850.3744419849407,332.0241501171539,318.36987910394737,-109.321574197205
1353,87.21912776055487,796.8352491023647,72.57170897589975,676.9000113807762,774.6953389358694,969.6914948693532,,249.0,604.5426888724469,1120.857199049072,666.0307851282612,722.5755562649987,710.7161233780959,583.9838234692684,1039.5961442739874,433.73678391199974,257.9029141385321,-307.69644824486215
4727,109.2521143372571,794.2423823637698,71.75823551039308,662.6577759803619,806.3459049764514,1182.4492619124449,433.69890787099666,249.0,507.3350402589815,1006.8018429117328,887.9037499574074,712.5547564143218,788.2255545182513,563.0249336264561,1039.66687484589,401.96173063625565,445.1728418137046,96.44877763582349
3896,91.23235325719484,870.3329122274507,62.53421491135913,545.1777937238408,747.9535395846523,1261.3287715169886,358.16833403201855,249.0,640.035716507149,990.1278490297451,797.7829537753868,697.8347327986552,479.90200525605985,677.8574956440185,927.864384801482,336.3334082224803,382.73138260750267,282.8696091217441
4132,102.89302204595924,807.0726299489182,74.50518279573609,778.3102741194913,799.5961645272481,1070.3335222131159,426.1926756426171,249.0,622.9956073746625,866.2277755217686,1063.44637982298,714.5087917206592,598.6887744014746,573.5461659512088,828.0547397802908,389.28292532494095,477.3338559860241,296.123522754453
7430,111.62443274504288,805.6121714099493,76.2908791627762,673.0206336913027,821.3058308473072,986.9617753495662,365.8808009510005,249.0,497.24897009339196,778.0282857622212,729.1863307607574,703.0528086729806,490.0814275486034,586.651236867502,833.2275965139858,351.01533455872766,528.5767212814379,360.61799057606794
7523,92.9989212421094,843.4159290812077,65.9848490323302,614.785244174976,845.6129490984014,1005.0816147068933,521.9613774377659,249.0,682.2530322408372,1034.0550991489222,408.46717767988537,701.5276795654689,928.3199374793712,549.5083184069031,902.29406336103,403.0774788654626,430.52784944417874,-433.66190486541683
