,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
9783,512.2558826416396,866.8648553636347,266.26442944763636,150.42837199769644,316.82779218779154,279.00003169086926,846.187496036718,,88.38185216758389,155.97439956424637,153.47018830319647,763.4854863103011,-1387.2836952162636
8440,567.9757423626269,934.0926540372877,288.2510923781833,110.08861904750377,236.5791294846191,243.23506975765542,1196.6831182560584,145.68352194668148,97.95202694380208,178.28314435264681,166.94016043184507,919.650805067941,-1789.4373647770803
9973,541.5156689800493,946.4767698819356,308.49267971805995,115.42107979631255,217.23947586033452,241.22420178604926,801.0975999077776,134.44571191316265,,154.0734903690829,183.21699538583658,862.5660450400184,-1557.7035747872787
2975,530.4765187736434,860.8560317102325,306.80214337509733,,187.33439541504043,288.0159820076859,751.5092058832457,192.62167753089355,71.5579119406427,198.92891336960048,146.96524487995063,957.7654809849339,-1551.8469641652605
2612,547.9300792215703,947.2581802509014,292.9957268822802,97.0839030806083,268.02768516427716,262.90101907629344,954.7074511654622,147.34611649688784,82.43118768645343,198.69157637275893,,748.6205094068221,-1609.067907725511
8515,527.8433858070537,876.6781611374167,299.7723072280502,69.22434820879658,264.41853578789085,324.64392616278417,,,72.34452220236703,178.7469594017955,154.27299909070928,935.8778263785426,-1681.9943335227083
7117,526.6425822644542,942.5423255218641,276.0317255845449,124.63705408848155,260.77398032229945,252.4904662590475,907.3273619592276,163.85164811892338,84.11885896412116,191.01274565889085,165.78800609802593,742.5258478634875,-1533.2527853522715
8374,517.6048196327203,788.4831900842319,250.87358391582114,,213.2699873178489,359.9409367801977,,172.113755366256,90.27679842671081,168.8890483537366,158.26414745738202,860.6823697928776,-1582.7867256974723
9376,566.3173354629657,887.9810181005879,274.66490728910634,127.06699347220206,124.85567761171073,320.7518017200347,874.6647457517687,145.0216216166243,87.95990412037494,161.94610658307133,153.3600593686746,798.6481761594239,-1633.8116697408893
8633,556.2643236348256,851.0039307708528,335.53907053109856,115.165896710587,256.8932364804623,404.3857350925746,985.543689365354,157.97476055214867,82.24947770003276,172.2057341517567,162.4473354189648,766.8802644930147,-1639.6450795739363
7903,523.9244276162401,964.2653289269872,249.5540979558558,90.47407906821881,224.50172403509217,307.383793933122,989.9266504910568,205.9323567319538,93.35535393404925,201.7172445945226,155.44359477479657,883.4191575009023,-1694.5876174236646
7195,535.514167114571,874.2338040991938,288.020569489135,143.80517967646156,266.03666598042514,317.18783382149707,1008.6511510648363,188.47671211040662,88.43331755233832,149.21761461943322,134.0586744011537,593.6750396549096,-1491.1871212566743
1945,575.1271323028193,937.459344116364,266.53559974691456,102.99869522241158,276.4473856614579,337.25090760451934,758.9931141010281,156.32046278808033,96.17014285314606,202.2099395509119,142.1200216714015,717.9968631110391,-1515.8407040598354
6923,537.2853537108869,887.7224614608051,220.36020125939874,100.14831346058492,143.48127779938463,367.211185852646,870.04296259007,,92.52812984576566,189.02916251441437,175.96395701683852,748.8970395735505,-1618.1930766683151
4194,510.5026865612239,899.1532655392356,293.54647254386714,101.25638363062768,178.6897586411012,341.70819153957274,865.7926654019602,,90.0128230959197,177.90589544365542,173.84413984038198,736.7070426983521,-1588.3662309157628
4723,569.0032500995376,876.2757647042491,297.8400875759153,105.33491911634388,212.0601392787763,296.8103038753367,971.3200691977678,162.3655170656267,90.73272089314393,181.9955541797403,179.42981882744132,930.7573738972362,-1661.5973099848284
8502,530.067060229788,880.455931718843,218.65334095162882,135.96275627045054,231.55138902293865,330.90582357953036,949.3412088448111,153.49310239497643,87.66093205769407,188.56513976810652,182.71635359457184,737.2317170238972,-1530.470682323624
1447,553.4087705048198,942.1853256008426,282.47503250175856,122.60294503239172,263.43164667532744,239.89090128895145,827.0140641223265,157.10455274001066,93.6406809358091,169.76147041374261,147.55463466010198,641.6518962064542,-1453.755414974271
3923,545.3203196438737,932.1204784122184,272.0255210463023,93.24183236060702,259.447031641393,224.0722223026308,849.5827568818139,163.11539176768989,93.42773678575678,187.22188681948975,137.72433205301112,610.1070231384822,-1461.001500674462
1928,531.5812123330231,890.0814409868467,319.5861360993125,118.1442754460115,301.56963149770564,278.3722863746665,936.9208641645326,202.30243990362993,88.01652056958308,173.22633296462968,136.44135071892185,862.1821881622641,-1553.2052023508782
4915,500.4019410140209,916.2720920075504,297.57129399547046,114.95331101777813,294.760865538389,291.80978037053626,973.1189528278034,176.27598588905687,,206.37967264266138,174.24722405922313,614.0770346236429,-1522.045742412725
3806,537.3244706041501,909.1596549812775,260.0117305354099,106.0738647230553,201.13139511452187,426.08650933568606,796.325408611586,161.13762413241602,92.10531285312378,156.11926526739447,157.80777721018924,768.7013584454404,-1583.580440578888
7954,532.6963821875768,913.6097771595868,303.34767892833963,121.8900975291259,313.01835934196527,292.188491652919,906.6735111294178,162.1030429548352,101.17318958891792,179.87832192181892,155.1058058781729,724.1044211811543,-1522.0726452921328
538,552.1859295164102,968.5856961449914,283.6455005049971,109.34577822346776,229.09234429746576,438.03673482131467,842.1924565414347,217.31440831574469,96.5759483576199,186.51047320583618,167.0318206330213,887.7139339766118,-1679.7589317301786
7785,553.3703409665625,1042.279748740423,277.12570685700285,86.15151919965882,182.04809361665443,338.42985480132967,896.3496310860241,188.40443885782008,99.5652171916569,159.44039874893315,147.26036334647623,805.1323015920829,-1728.0134545987567
1584,517.4097791863425,983.3444988594357,312.8104551584943,116.13538158566367,253.8724639235865,300.9891485657328,910.1458547437987,,83.80700559794687,166.39271563702945,127.26861769595246,608.685990810661,-1598.3246960128045
5927,536.0121090919976,1034.3304349823795,297.44728464091946,111.9615041942781,233.68286072221971,372.86045559063973,866.9793557496532,163.54459787709868,85.49681145729498,205.176064908698,156.7514110128977,768.3196500278591,-1714.4888067326717
9170,553.6536012035216,965.0162020886111,342.72657104680763,108.92423521937515,200.97659980914173,316.4275282969314,781.5579605645862,157.0923489288028,85.09187950991473,187.32124388410975,145.8175436177243,737.6522834799994,-1624.411553450042
1517,533.0970106146405,905.3083275631445,294.4596592576524,136.0545595809141,206.75242097585013,280.57163059598076,929.8165573896412,,88.5149297672903,180.02480833842284,167.22354292960804,644.91327622067,-1547.3564802180424
8269,531.7179887169178,978.1588517991603,240.3735586783964,118.12747931960288,249.812464491239,355.2485555244389,847.4785943311124,141.1955535789944,84.79388607886995,196.4276750477472,139.40018277404633,861.0829195099406,-1654.7063096567667
275,559.2043875296583,887.6781849353112,290.97004284242774,121.50492092679694,254.35305951976295,354.94458062589206,824.2965269436881,164.68859214119044,80.54723434158474,,162.72160459668595,902.9356356098383,-1585.2881026671475
4578,527.4218300631481,950.059514850607,,100.75741425864666,163.84757913960567,,886.5445010289387,127.76074432118763,81.87716420578644,167.75706882483144,146.3095038109311,699.6398657298807,-1612.0411530084634
6376,568.2137232799712,977.2663623815828,303.91718874046893,134.11313202543167,216.6554480884514,,768.5142955001855,152.83004395573568,89.57011153411152,192.9911570156012,150.9511584485453,823.0805454656652,-1620.7180183032476
3507,555.8886357924134,839.9574508265553,266.9227996588982,127.40480024430369,359.72760004944786,336.7225375269448,866.9134173658341,171.54520702668398,81.45196083771378,191.6004088012048,163.4629364911312,557.1109805947038,-1327.9862160824491
4093,526.8937115123,1013.3010485421966,241.1483342664437,93.83827934788084,206.9164572879521,280.55626526423225,934.6663144177705,204.59810982578,84.51422796674755,185.3497324479361,159.85162293183367,915.2348057414143,-1679.8965520199117
4138,511.88292404939506,968.0897728998905,310.08867241746555,100.25288417827804,258.32045059998853,310.6402945759693,978.8534105271196,155.25622731546272,86.17685281014079,186.4882077573269,168.50548943045567,759.0288653173483,-1667.1430787321447
4443,532.89605585909,933.915424151909,324.85509957593746,147.15141178725708,235.30937113130125,389.96520431218545,922.819880273146,162.1458505742826,90.67191652246544,188.12591342086478,150.0106248304361,774.5960986957406,-1684.3976753578456
9993,513.0864187830313,947.8513775816311,254.99404994106033,135.34084774768743,263.4400230229675,324.3889052576974,802.2709033187703,165.848144874421,97.16053055083101,,179.65212811956414,723.2035078966996,-1484.2330746592281
8651,577.8049562203815,902.3876300036482,216.36056814113923,92.27387616886692,246.54114733056693,390.8709352073521,821.5911589527994,145.95279941842864,78.0778789619076,,156.32249326606308,960.5968452166115,-1625.3720111211862
239,556.699717973623,821.1079535037783,309.7465072163308,123.79740564535837,150.0911190829936,299.8824954830114,841.3442458001055,171.37998539768614,75.44180053977936,168.50610084536234,139.0354451874882,851.3360939997931,-1565.9432016981182
6567,546.0639389463561,969.9485064812784,248.36022038613174,94.33515955426333,238.5910819008419,366.9901009213692,860.1006569768084,154.18325199218148,77.60998277248088,218.0739154192769,165.94256997011033,,-1645.0038555098222
2265,549.7764197532732,855.8103615677929,252.51879954890725,122.26154336894655,211.00137764165032,291.4750406222657,870.7910539150689,174.54324828204852,86.09550567776219,171.28710468250296,180.8941240705785,783.4004898876851,-1476.8650959620657
7073,552.3677583912779,1028.2524972975316,,111.56289995077489,208.80353845724437,320.25142121674105,1025.7398436720712,156.29271028446777,96.91971180457902,197.28626218787448,158.68509262002138,995.7346565583459,-1882.2444233760857
2199,535.1704991024096,966.4618477836486,272.81329544011976,109.88770622865464,193.6577522392712,417.6514258469931,1070.8601312097799,168.47127905123384,82.06265647709826,174.01610121361406,171.97806799645534,796.7512793786985,-1785.5474523718758
2170,507.5198043858776,893.7499162188744,264.24240984716687,123.23360100597199,200.79093587406317,348.8074222390237,866.8788633989443,160.0843303385494,88.47232187961791,,167.6316308582844,677.7418679394555,-1538.50090569856
8903,572.0697154661003,936.530701049839,274.98729765261487,97.18592922598498,260.2437912430318,,964.4864564779156,168.04860556741988,85.02122719184943,182.9857115291299,152.34185543318506,895.7909343872278,-1674.1817784203554
9225,528.7115821749658,925.2758303499203,277.19870959218565,,280.45742726330064,326.73005507447164,1022.9307139069381,188.75715480419132,101.05395572957882,161.86717307078317,144.3103274406441,729.2896749099423,-1601.3753150230718
5574,545.1137402366419,923.5932064394082,232.75820438220933,109.92509115649082,,354.06928723852826,900.9149279572936,,85.2637931976791,173.30637153074392,145.3532805045897,840.6543843068573,-1605.9070041689738
5641,531.7178019899393,921.5825914928369,322.72714757539825,100.75467016950094,,342.36691089319686,869.225106673177,168.6873134577606,90.68272057370058,173.67760711409127,158.84883600145199,787.2585197731767,-1601.5442398694502
7344,556.9518754250648,948.0514253694836,280.108805530736,112.1897283691365,263.45820592356824,169.01256412651907,854.333281485787,162.59913496688824,71.48077790114147,196.897345213804,160.75348611953,767.3977117192703,-1471.0815481732611
5313,506.9641929757839,912.0914295863537,,142.2499294537415,223.8796366257254,303.947675680031,996.4855659932368,181.9386068224158,92.72771368118461,191.2075115639674,199.9449308346649,854.5506724989207,-1636.51063659598
2422,531.9502716444249,960.9366128500991,311.8054641858627,93.89448303333393,173.53319598169486,282.30010623735075,857.2779155510652,133.87666968847327,104.74974640965686,194.29908819222547,171.73635663247717,698.1819100852891,-1656.5445238283496
9680,553.7714936708295,987.2824550810676,221.75746057014794,133.4073118619888,262.93573466723694,372.29213143143096,961.8700264904243,,80.96930251063466,178.32122492337177,180.9428905736068,675.3951043460161,-1569.1855131998632
3942,562.1832400342078,1122.411892605531,311.87399319346383,83.94328006327184,258.4592068694606,344.5202971854939,865.4231729420992,151.74487143728763,89.72288168078025,190.8818167890229,188.2139959563092,,-1771.4359000198315
7483,522.3015167695563,911.824265322761,290.2634756033697,87.11435371712244,289.18190162609017,415.06301629304375,755.8244036959118,193.22015873752883,,,,1024.9376770108952,-1613.718599256989
4038,521.6650090404058,808.9814970714101,267.29456899310696,119.3374848721249,258.12969079935044,269.9146115072347,841.3826573921898,157.55581176027246,88.96956454767837,205.87362754806549,153.7961691989283,774.0695606935928,-1447.8509958142545
8509,524.6466139724423,1017.9183510293061,276.9991933043859,,243.54556330671488,213.49737750454028,889.128547201018,172.76324827599532,86.11529486157131,205.22702962276747,149.4021359668956,869.3571196336344,-1638.6276472121465
2297,548.1577034542207,892.6905551035841,261.886806364992,,288.2428387632115,386.59322804464745,835.2148646360691,169.744980808304,85.95804818728675,198.71014251612806,154.79528183597466,843.8458603034035,-1563.517153080039
1357,548.1601064989654,955.0755430928035,276.2620822160799,117.3913515593886,224.16588731859477,355.515921815079,967.9514993536518,165.23150554214422,80.25811741431265,165.6447747198801,163.80577977322056,715.8826569006251,-1630.5385203161609
4613,536.6611426755056,907.5392221905324,291.9017596635576,137.90822753744507,155.4347096577728,283.8501167405926,980.5171969991324,153.0808361182642,88.39535671413543,195.58014237510815,134.59096759360006,646.3949302246516,-1648.5017922750294
206,528.8472171794084,864.7631803451987,256.6666664885379,116.87031055893425,221.97993755088135,328.7730283838581,916.0391953032808,147.448729701133,65.0799327322475,173.82961931973358,166.54147559850742,853.0341892429922,-1565.401941180185
9552,540.6786386923513,923.3825756800439,245.45265481307862,101.75354926130652,250.67095363844973,,864.6232750217755,159.29263412066942,80.94615134463017,181.41289716483598,176.87840874229892,,-1552.942515516398
1436,553.2367331172322,850.8794908203683,250.3297044423541,99.44083935040862,,362.4975502016053,,155.33242694821482,89.40395541680122,179.61756593251656,166.58868440157497,840.2763276656453,-1562.8337419707307
3350,549.9263278588012,908.9839267660597,321.8630215324822,101.40638069295069,163.57200585684808,284.7439109895909,773.9070522969149,206.43153245624242,88.87559874788549,201.4237382987414,127.98624523053118,870.8736446548089,-1619.396538159051
7160,560.7862832650607,1000.0781975815781,285.0776925877181,114.63428960971709,249.73386880826308,309.2896328045205,986.4494917962737,164.57610328441726,96.3152051621186,160.89887973033498,170.9038089418497,,-1640.8052617358069
8055,547.7017857224516,1002.3210684445297,256.59844240995943,111.50345851344213,331.19758111629574,403.0369579736971,884.9482800867036,175.02564306552452,90.1101280627419,189.18781693046958,147.35068658423037,863.2118411885203,-1643.5208626913725
9757,540.6446088743455,838.9116932702888,245.27967909261315,85.79700455731412,260.16948272326965,387.8485608522697,819.9286567576398,167.81647095906257,95.57534761475294,195.6108345527034,145.94037141737326,758.3665471125364,-1510.7875255366762
1792,538.9793114101657,912.286488175939,265.21150286072526,130.5013920946209,203.47256531363803,269.528323821423,956.6808882613582,175.4942760782478,88.84007274304751,190.26767555896015,140.1824631071517,1001.9140831838322,-1689.5897434849717
6963,526.4423704250288,924.3282316418415,317.4681388817762,95.10691596717895,209.0451569715501,238.24628881494766,1006.3925496456317,180.4150103939764,81.73319904773851,209.24585773293495,192.65037880572274,775.94758507749,-1638.2038302533442
